event_id,question,answers,,,story,Event query,answer ,queries,,,question query,question number,question subject,story query
47,,,,,Example Text,"'(47),'","'(139, 47, , 1),'","'(140, 47, , 0),'","'(141, 47, , 0),'",141,"'(47, 7, '', 'Geography', 47),'",7,Geography,"'(47, 'Example Text', 47),'"
48,,,,,Example Text,"'(48),'","'(142, 48, , 1),'","'(143, 48, , 0),'","'(144, 48, , 0),'",144,"'(48, 8, '', 'Geography', 48),'",8,Geography,"'(48, 'Example Text', 48),'"
49,,,,,Example Text,"'(49),'","'(145, 49, , 1),'","'(146, 49, , 0),'","'(147, 49, , 0),'",147,"'(49, 9, '', 'Geography', 49),'",9,Geography,"'(49, 'Example Text', 49),'"
50,,,,,Example Text,"'(50),'","'(148, 50, , 1),'","'(149, 50, , 0),'","'(150, 50, , 0),'",150,"'(50, 10, '', 'Geography', 50),'",10,Geography,"'(50, 'Example Text', 50),'"
51,,,,,Example Text,"'(51),'","'(151, 51, , 1),'","'(152, 51, , 0),'","'(153, 51, , 0),'",153,"'(51, 11, '', 'Geography', 51),'",11,Geography,"'(51, 'Example Text', 51),'"
52,,,,,Example Text,"'(52),'","'(154, 52, , 1),'","'(155, 52, , 0),'","'(156, 52, , 0),'",156,"'(52, 12, '', 'Geography', 52),'",12,Geography,"'(52, 'Example Text', 52),'"
53,,,,,Example Text,"'(53),'","'(157, 53, , 1),'","'(158, 53, , 0),'","'(159, 53, , 0),'",159,"'(53, 13, '', 'Geography', 53),'",13,Geography,"'(53, 'Example Text', 53),'"
54,,,,,Example Text,"'(54),'","'(160, 54, , 1),'","'(161, 54, , 0),'","'(162, 54, , 0),'",162,"'(54, 14, '', 'Geography', 54),'",14,Geography,"'(54, 'Example Text', 54),'"
55,,,,,Example Text,"'(55),'","'(163, 55, , 1),'","'(164, 55, , 0),'","'(165, 55, , 0),'",165,"'(55, 15, '', 'Geography', 55),'",15,Geography,"'(55, 'Example Text', 55),'"
56,,,,,Example Text,"'(56),'","'(166, 56, , 1),'","'(167, 56, , 0),'","'(168, 56, , 0),'",168,"'(56, 16, '', 'Geography', 56),'",16,Geography,"'(56, 'Example Text', 56),'"
57,,,,,Example Text,"'(57),'","'(169, 57, , 1),'","'(170, 57, , 0),'","'(171, 57, , 0),'",171,"'(57, 17, '', 'Geography', 57),'",17,Geography,"'(57, 'Example Text', 57),'"
58,,,,,Example Text,"'(58),'","'(172, 58, , 1),'","'(173, 58, , 0),'","'(174, 58, , 0),'",174,"'(58, 18, '', 'Geography', 58),'",18,Geography,"'(58, 'Example Text', 58),'"
59,,,,,Example Text,"'(59),'","'(175, 59, , 1),'","'(176, 59, , 0),'","'(177, 59, , 0),'",177,"'(59, 19, '', 'Geography', 59),'",19,Geography,"'(59, 'Example Text', 59),'"
60,,,,,Example Text,"'(60),'","'(178, 60, , 1),'","'(179, 60, , 0),'","'(180, 60, , 0),'",180,"'(60, 20, '', 'Geography', 60),'",20,Geography,"'(60, 'Example Text', 60),'"
61,,,,,Example Text,"'(61),'","'(181, 61, , 1),'","'(182, 61, , 0),'","'(183, 61, , 0),'",183,"'(61, 1, '', 'Spelling', 61),'",1,Spelling,"'(61, 'Example Text', 61),'"
62,,,,,Example Text,"'(62),'","'(184, 62, , 1),'","'(185, 62, , 0),'","'(186, 62, , 0),'",186,"'(62, 2, '', 'Spelling', 62),'",2,Spelling,"'(62, 'Example Text', 62),'"
63,,,,,Example Text,"'(63),'","'(187, 63, , 1),'","'(188, 63, , 0),'","'(189, 63, , 0),'",189,"'(63, 3, '', 'Spelling', 63),'",3,Spelling,"'(63, 'Example Text', 63),'"
64,,,,,Example Text,"'(64),'","'(190, 64, , 1),'","'(191, 64, , 0),'","'(192, 64, , 0),'",192,"'(64, 4, '', 'Spelling', 64),'",4,Spelling,"'(64, 'Example Text', 64),'"
65,,,,,Example Text,"'(65),'","'(193, 65, , 1),'","'(194, 65, , 0),'","'(195, 65, , 0),'",195,"'(65, 5, '', 'Spelling', 65),'",5,Spelling,"'(65, 'Example Text', 65),'"
66,,,,,Example Text,"'(66),'","'(196, 66, , 1),'","'(197, 66, , 0),'","'(198, 66, , 0),'",198,"'(66, 6, '', 'Spelling', 66),'",6,Spelling,"'(66, 'Example Text', 66),'"
67,,,,,Example Text,"'(67),'","'(199, 67, , 1),'","'(200, 67, , 0),'","'(201, 67, , 0),'",201,"'(67, 7, '', 'Spelling', 67),'",7,Spelling,"'(67, 'Example Text', 67),'"
68,,,,,Example Text,"'(68),'","'(202, 68, , 1),'","'(203, 68, , 0),'","'(204, 68, , 0),'",204,"'(68, 8, '', 'Spelling', 68),'",8,Spelling,"'(68, 'Example Text', 68),'"
69,,,,,Example Text,"'(69),'","'(205, 69, , 1),'","'(206, 69, , 0),'","'(207, 69, , 0),'",207,"'(69, 9, '', 'Spelling', 69),'",9,Spelling,"'(69, 'Example Text', 69),'"
70,,,,,Example Text,"'(70),'","'(208, 70, , 1),'","'(209, 70, , 0),'","'(210, 70, , 0),'",210,"'(70, 10, '', 'Spelling', 70),'",10,Spelling,"'(70, 'Example Text', 70),'"
71,,,,,Example Text,"'(71),'","'(211, 71, , 1),'","'(212, 71, , 0),'","'(213, 71, , 0),'",213,"'(71, 11, '', 'Spelling', 71),'",11,Spelling,"'(71, 'Example Text', 71),'"
72,,,,,Example Text,"'(72),'","'(214, 72, , 1),'","'(215, 72, , 0),'","'(216, 72, , 0),'",216,"'(72, 12, '', 'Spelling', 72),'",12,Spelling,"'(72, 'Example Text', 72),'"
73,,,,,Example Text,"'(73),'","'(217, 73, , 1),'","'(218, 73, , 0),'","'(219, 73, , 0),'",219,"'(73, 13, '', 'Spelling', 73),'",13,Spelling,"'(73, 'Example Text', 73),'"
74,,,,,Example Text,"'(74),'","'(220, 74, , 1),'","'(221, 74, , 0),'","'(222, 74, , 0),'",222,"'(74, 14, '', 'Spelling', 74),'",14,Spelling,"'(74, 'Example Text', 74),'"
75,,,,,Example Text,"'(75),'","'(223, 75, , 1),'","'(224, 75, , 0),'","'(225, 75, , 0),'",225,"'(75, 15, '', 'Spelling', 75),'",15,Spelling,"'(75, 'Example Text', 75),'"
76,,,,,Example Text,"'(76),'","'(226, 76, , 1),'","'(227, 76, , 0),'","'(228, 76, , 0),'",228,"'(76, 16, '', 'Spelling', 76),'",16,Spelling,"'(76, 'Example Text', 76),'"
77,,,,,Example Text,"'(77),'","'(229, 77, , 1),'","'(230, 77, , 0),'","'(231, 77, , 0),'",231,"'(77, 17, '', 'Spelling', 77),'",17,Spelling,"'(77, 'Example Text', 77),'"
78,,,,,Example Text,"'(78),'","'(232, 78, , 1),'","'(233, 78, , 0),'","'(234, 78, , 0),'",234,"'(78, 18, '', 'Spelling', 78),'",18,Spelling,"'(78, 'Example Text', 78),'"
79,,,,,Example Text,"'(79),'","'(235, 79, , 1),'","'(236, 79, , 0),'","'(237, 79, , 0),'",237,"'(79, 19, '', 'Spelling', 79),'",19,Spelling,"'(79, 'Example Text', 79),'"
80,,,,,Example Text,"'(80),'","'(238, 80, , 1),'","'(239, 80, , 0),'","'(240, 80, , 0),'",240,"'(80, 20, '', 'Spelling', 80),'",20,Spelling,"'(80, 'Example Text', 80),'"
81,,,,,Example Text,"'(81),'","'(241, 81, , 1),'","'(242, 81, , 0),'","'(243, 81, , 0),'",243,"'(81, 1, '', 'Programming', 81),'",1,Programming,"'(81, 'Example Text', 81),'"
82,,,,,Example Text,"'(82),'","'(244, 82, , 1),'","'(245, 82, , 0),'","'(246, 82, , 0),'",246,"'(82, 2, '', 'Programming', 82),'",2,Programming,"'(82, 'Example Text', 82),'"
83,,,,,Example Text,"'(83),'","'(247, 83, , 1),'","'(248, 83, , 0),'","'(249, 83, , 0),'",249,"'(83, 3, '', 'Programming', 83),'",3,Programming,"'(83, 'Example Text', 83),'"
84,,,,,Example Text,"'(84),'","'(250, 84, , 1),'","'(251, 84, , 0),'","'(252, 84, , 0),'",252,"'(84, 4, '', 'Programming', 84),'",4,Programming,"'(84, 'Example Text', 84),'"
85,,,,,Example Text,"'(85),'","'(253, 85, , 1),'","'(254, 85, , 0),'","'(255, 85, , 0),'",255,"'(85, 5, '', 'Programming', 85),'",5,Programming,"'(85, 'Example Text', 85),'"
86,,,,,Example Text,"'(86),'","'(256, 86, , 1),'","'(257, 86, , 0),'","'(258, 86, , 0),'",258,"'(86, 6, '', 'Programming', 86),'",6,Programming,"'(86, 'Example Text', 86),'"
87,,,,,Example Text,"'(87),'","'(259, 87, , 1),'","'(260, 87, , 0),'","'(261, 87, , 0),'",261,"'(87, 7, '', 'Programming', 87),'",7,Programming,"'(87, 'Example Text', 87),'"
88,,,,,Example Text,"'(88),'","'(262, 88, , 1),'","'(263, 88, , 0),'","'(264, 88, , 0),'",264,"'(88, 8, '', 'Programming', 88),'",8,Programming,"'(88, 'Example Text', 88),'"
89,,,,,Example Text,"'(89),'","'(265, 89, , 1),'","'(266, 89, , 0),'","'(267, 89, , 0),'",267,"'(89, 9, '', 'Programming', 89),'",9,Programming,"'(89, 'Example Text', 89),'"
90,,,,,Example Text,"'(90),'","'(268, 90, , 1),'","'(269, 90, , 0),'","'(270, 90, , 0),'",270,"'(90, 10, '', 'Programming', 90),'",10,Programming,"'(90, 'Example Text', 90),'"
91,,,,,Example Text,"'(91),'","'(271, 91, , 1),'","'(272, 91, , 0),'","'(273, 91, , 0),'",273,"'(91, 11, '', 'Programming', 91),'",11,Programming,"'(91, 'Example Text', 91),'"
92,,,,,Example Text,"'(92),'","'(274, 92, , 1),'","'(275, 92, , 0),'","'(276, 92, , 0),'",276,"'(92, 12, '', 'Programming', 92),'",12,Programming,"'(92, 'Example Text', 92),'"
93,,,,,Example Text,"'(93),'","'(277, 93, , 1),'","'(278, 93, , 0),'","'(279, 93, , 0),'",279,"'(93, 13, '', 'Programming', 93),'",13,Programming,"'(93, 'Example Text', 93),'"
94,,,,,Example Text,"'(94),'","'(280, 94, , 1),'","'(281, 94, , 0),'","'(282, 94, , 0),'",282,"'(94, 14, '', 'Programming', 94),'",14,Programming,"'(94, 'Example Text', 94),'"
95,,,,,Example Text,"'(95),'","'(283, 95, , 1),'","'(284, 95, , 0),'","'(285, 95, , 0),'",285,"'(95, 15, '', 'Programming', 95),'",15,Programming,"'(95, 'Example Text', 95),'"
96,,,,,Example Text,"'(96),'","'(286, 96, , 1),'","'(287, 96, , 0),'","'(288, 96, , 0),'",288,"'(96, 16, '', 'Programming', 96),'",16,Programming,"'(96, 'Example Text', 96),'"
97,,,,,Example Text,"'(97),'","'(289, 97, , 1),'","'(290, 97, , 0),'","'(291, 97, , 0),'",291,"'(97, 17, '', 'Programming', 97),'",17,Programming,"'(97, 'Example Text', 97),'"
98,,,,,Example Text,"'(98),'","'(292, 98, , 1),'","'(293, 98, , 0),'","'(294, 98, , 0),'",294,"'(98, 18, '', 'Programming', 98),'",18,Programming,"'(98, 'Example Text', 98),'"
99,,,,,Example Text,"'(99),'","'(295, 99, , 1),'","'(296, 99, , 0),'","'(297, 99, , 0),'",297,"'(99, 19, '', 'Programming', 99),'",19,Programming,"'(99, 'Example Text', 99),'"
100,,,,,Example Text,"'(100),'","'(298, 100, , 1),'","'(299, 100, , 0),'","'(300, 100, , 0),'",300,"'(100, 20, '', 'Programming', 100),'",20,Programming,"'(100, 'Example Text', 100),'"
